Azuay;8309,58;375083;337044;Cuenca;712127;1
Bolivar;3945,38;93766;89875;Guaranda;183641;2
Cañar;3146,08;119949;105235;Azogues;225184;3
Carchi;3780,45;83369;81155;Tulcán;164524;4
Chimborazo;6499,72;239180;219401;Riobamba;458581;5
Cotopaxi;409205;210580;198625;Latacunga;409205;6
El Oro;5766,68;304362;296297;Machala;600659;7
Esmeraldas;16132,23;262780;271312;Esmeraldas;534092;8
Galápagos;5766,68;304362;296297;Puerto Baquerizo Moreno;25124;9
Guayas;15430,4;1829569;1815914;Guayaquil;3645483;10
Imbabura;4587,51;204580;193664;Ibarra;398244;11
Loja;448966;228172;220794;Loja;448966;12
Los Ríos;7205,27;380016;398099;Babahoyo;778115;13
Manabí;18939,6;680481;689299;Portoviejo;136978;14
Morona Santiago;24059,4;73091;74849;Macas;14794;15
Napo;103697;50923;52774;Tena;103697;16
Orellana;21692,1;64266;72130;Orellana;136396;17
Pastaza;11062,73;41673;42260;Puyo;83933;18
Pichincha;9535,91;1320576;1255711;Quito;2576287;19
Santa Elena;3690,17;151831;156862;Santa Elena;308693;20
Santo Domingo de los Tsáchilas;3446,65;184955;183058;Santo Domingo;368013;21
Sucumbios;18084,42;83624;92848;Lago Agrio;176472;22
Tungurahua;3386,25;259800;244783;Ambato;504583;23
Zamora Chinchipe;10584,28;43924;47452;Zamora;91376;24
